index,decrypted_text
0,1255.0
1,1295.0
2,1285.0
3,1275.0
4,1220.0
5,1180.0
6,1100.0
7,1130.0
8,1130.0
9,1120.0
10,1110.0
11,1070.0
12,1070.0
13,1035.0
14,1095.0
15,1055.0
16,1060.0
17,1055.0
18,1040.0
19,1145.0
20,1120.0
21,1155.0
22,1140.0
23,1120.0
24,1145.0
25,1160.0
26,1215.0
27,1250.0
28,1265.0
29,1345.0
30,1450.0
31,1440.0
32,1475.0
33,1485.0
34,1445.0
35,1460.0
36,1460.0
37,1420.0
38,1410.0
39,1400.0
40,1405.0
41,1370.0
42,1315.0
43,1320.0
44,1345.0
45,1335.0
46,1330.0
47,1310.0
48,1285.0
49,1285.0
50,1290.0
51,1285.0
52,1300.0
53,1275.0
54,1310.0
55,1325.0
56,1330.0
57,1365.0
58,1325.0
59,1350.0
60,1370.0
61,1375.0
62,1375.0
63,1385.0
64,1375.0
65,1375.0
66,1375.0
67,1335.0
68,1320.0
69,1310.0
70,1300.0
71,1370.0
72,1410.0
73,1390.0
74,1435.0
75,1435.0
76,1440.0
77,1435.0
78,1360.0
79,1350.0
80,1360.0
81,1350.0
82,1335.0
83,1335.0
84,1345.0
85,1335.0
86,1335.0
87,1345.0
88,1300.0
89,1260.0
90,1315.0
91,1330.0
92,1400.0
93,1460.0
94,1465.0
95,1460.0
96,1490.0
97,1520.0
98,1505.0
99,1600.0
100,1715.0
101,1665.0
102,1655.0
103,1625.0
104,1605.0
105,1590.0
106,1620.0
107,1610.0
108,1590.0
109,1555.0
110,1470.0
111,1515.0
112,1540.0
113,1535.0
114,1525.0
115,1565.0
116,1595.0
117,1585.0
118,1555.0
119,1505.0
120,1485.0
121,1490.0
122,1455.0
123,1420.0
124,1390.0
125,1395.0
126,1370.0
127,1345.0
128,1345.0
129,1325.0
130,1305.0
131,1245.0
132,1285.0
133,1345.0
134,1350.0
135,1315.0
136,1295.0
137,1315.0
138,1335.0
139,1355.0
140,1360.0
141,1330.0
142,1350.0
143,1345.0
144,1360.0
145,1355.0
146,1310.0
147,1300.0
148,1295.0
149,1275.0
150,1160.0
151,1195.0
152,1180.0
153,1215.0
154,1225.0
155,1180.0
156,1085.0
157,1060.0
158,1035.0
159,930.0
160,860.0
161,830.0
162,760.0
163,760.0
164,670.0
165,800.0
166,835.0
167,900.0
168,1010.0
169,1050.0
170,970.0
171,1020.0
172,1030.0
173,1055.0
174,1100.0
175,1150.0
176,1200.0
177,1150.0
178,1080.0
179,1075.0
180,1080.0
181,1100.0
182,1035.0
183,1050.0
184,1045.0
185,970.0
186,930.0
187,925.0
188,985.0
189,945.0
190,915.0
191,905.0
192,920.0
193,920.0
194,925.0
195,965.0
196,1030.0
197,1060.0
198,1060.0
199,1040.0
200,1025.0
201,970.0
202,1020.0
203,1065.0
204,1020.0
205,1020.0
206,1020.0
207,1075.0
208,1100.0
209,1185.0
210,1180.0
211,1150.0
212,1130.0
213,1175.0
214,1240.0
215,1180.0
216,1110.0
217,1070.0
218,1085.0
219,1085.0
220,1095.0
221,1075.0
222,1060.0
223,1055.0
224,1050.0
225,1050.0
226,1035.0
227,1025.0
228,1025.0
229,1020.0
230,1045.0
231,1080.0
232,1080.0
233,1065.0
234,1085.0
235,1075.0
236,1125.0
237,1110.0
238,1160.0
239,1170.0
240,1180.0
241,1150.0
242,1160.0
243,1165.0
244,1145.0
245,1150.0
246,1145.0
247,1135.0
248,1110.0
249,1125.0
250,1095.0
251,1100.0
252,1095.0
253,1060.0
254,1055.0
255,1120.0
256,1130.0
257,1140.0
258,1170.0
259,1150.0
260,1130.0
261,1125.0
262,1125.0
263,1135.0
264,1120.0
265,1110.0
266,1135.0
267,1130.0
268,1160.0
269,1165.0
270,1140.0
271,1215.0
272,1230.0
273,1205.0
274,1260.0
275,1280.0
276,1240.0
277,1190.0
278,1185.0
279,1220.0
280,1215.0
281,1205.0
282,1180.0
283,1155.0
284,1160.0
285,1180.0
286,1190.0
287,1160.0
288,1160.0
289,1155.0
290,1185.0
291,1175.0
292,1180.0
293,1185.0
294,1155.0
295,1145.0
296,1135.0
297,1155.0
298,1125.0
299,1130.0
300,1155.0
301,1200.0
302,1195.0
303,1230.0
304,1240.0
305,1225.0
306,1220.0
307,1190.0
308,1175.0
309,1155.0
310,1150.0
311,1150.0
312,1165.0
313,1160.0
314,1155.0
315,1155.0
316,1155.0
317,1155.0
318,1205.0
319,1205.0
320,1190.0
321,1205.0
322,1210.0
323,1205.0
324,1255.0
325,1260.0
326,1290.0
327,1335.0
328,1350.0
329,1365.0
330,1410.0
331,1475.0
332,1425.0
333,1410.0
334,1430.0
335,1460.0
336,1530.0
337,1545.0
338,1600.0
339,1575.0
340,1585.0
341,1575.0
342,1570.0
343,1555.0
344,1500.0
345,1595.0
346,1560.0
347,1540.0
348,1520.0
349,1540.0
350,1490.0
351,1460.0
352,1470.0
353,1420.0
354,1430.0
355,1485.0
356,1540.0
357,1535.0
358,1540.0
359,1535.0
360,1495.0
361,1485.0
362,1460.0
363,1440.0
364,1435.0
365,1420.0
366,1350.0
367,1335.0
368,1285.0
369,1275.0
370,1255.0
371,1235.0
372,1265.0
373,1210.0
374,1210.0
375,1230.0
376,1255.0
377,1235.0
378,1225.0
379,1230.0
380,1240.0
381,1235.0
382,1220.0
383,1200.0
384,1185.0
385,1230.0
386,1230.0
387,1220.0
388,1215.0
389,1195.0
390,1200.0
391,1220.0
392,1200.0
393,1235.0
394,1220.0
395,1200.0
396,1190.0
397,1185.0
398,1225.0
399,1260.0
400,1250.0
401,1235.0
402,1270.0
403,1300.0
404,1340.0
405,1330.0
406,1280.0
407,1245.0
408,1225.0
409,1235.0
410,1205.0
411,1185.0
412,1200.0
413,1205.0
414,1210.0
415,1225.0
416,1230.0
417,1230.0
418,1215.0
419,1185.0
420,1200.0
421,1200.0
422,1190.0
423,1205.0
424,1205.0
425,1190.0
426,1190.0
427,1205.0
428,1225.0
429,1230.0
430,1230.0
431,1260.0
432,1260.0
433,1260.0
434,1255.0
435,1210.0
436,1215.0
437,1210.0
438,1210.0
439,1220.0
440,1215.0
441,1200.0
442,1195.0
443,1185.0
444,1195.0
445,1160.0
446,1190.0
447,1195.0
448,1190.0
449,1180.0
450,1190.0
451,1260.0
452,1265.0
453,1260.0
454,1230.0
455,1235.0
456,1225.0
457,1240.0
458,1350.0
459,1340.0
460,1320.0
461,1400.0
462,1405.0
463,1375.0
464,1305.0
465,1315.0
466,1315.0
467,1270.0
468,1295.0
469,1305.0
470,1245.0
471,1225.0
472,1240.0
473,1270.0
474,1265.0
475,1300.0
476,1275.0
477,1250.0
478,1255.0
479,1270.0
480,1245.0
481,1255.0
482,1240.0
483,1260.0
484,1265.0
485,1260.0
486,1340.0
487,1335.0
488,1310.0
489,1305.0
490,1285.0
491,1345.0
492,1365.0
493,1390.0
494,1370.0
495,1365.0
496,1370.0
497,1325.0
498,1340.0
499,1350.0
500,1415.0
501,1430.0
502,1400.0
503,1375.0
504,1355.0
505,1305.0
506,1320.0
507,1340.0
508,1280.0
509,1290.0
510,1280.0
511,1300.0
512,1310.0
513,1320.0
514,1345.0
515,1360.0
516,1380.0
517,1370.0
518,1360.0
519,1370.0
520,1375.0
521,1350.0
522,1395.0
523,1410.0
524,1410.0
525,1370.0
526,1345.0
527,1360.0
528,1410.0
529,1445.0
530,1515.0
531,1560.0
532,1785.0
533,1795.0
534,1805.0
535,1830.0
536,1900.0
537,1980.0
538,1945.0
539,1785.0
540,1815.0
541,1920.0
542,1940.0
543,1900.0
544,1885.0
545,1885.0
546,1895.0
547,1870.0
548,1800.0
549,1750.0
550,1800.0
551,1785.0
552,1765.0
553,1710.0
554,1695.0
555,1710.0
556,1680.0
557,1680.0
558,1730.0
559,1665.0
560,1710.0
561,1745.0
562,1710.0
563,1695.0
564,1700.0
565,1685.0
566,1630.0
567,1655.0
568,1645.0
569,1665.0
570,1660.0
571,1715.0
572,1730.0
573,1750.0
574,1730.0
575,1700.0
576,1730.0
577,1775.0
578,1820.0
579,1835.0
580,1920.0
581,1920.0
582,1935.0
583,1960.0
584,1940.0
585,1940.0
586,1930.0
587,2050.0
588,2080.0
589,2060.0
590,2050.0
591,2160.0
592,2190.0
593,2180.0
594,2240.0
595,2260.0
596,2310.0
597,2330.0
598,2270.0
599,2380.0
600,2380.0
601,2350.0
602,2310.0
603,2450.0
604,2430.0
605,2470.0
606,2370.0
607,2380.0
608,2330.0
609,2320.0
610,2310.0
611,2260.0
612,2360.0
613,2310.0
614,2350.0
615,2270.0
616,2240.0
617,2310.0
618,2320.0
619,2310.0
620,2290.0
621,2240.0
622,2240.0
623,2250.0
624,2220.0
625,2270.0
626,2230.0
627,2200.0
628,2270.0
629,2300.0
630,2300.0
631,2250.0
632,2280.0
633,2260.0
634,2260.0
635,2350.0
636,2480.0
637,2590.0
638,2720.0
639,2740.0
640,3050.0
641,3270.0
642,3210.0
643,3150.0
644,3070.0
645,3090.0
646,3020.0
647,2790.0
648,2830.0
649,2820.0
650,2860.0
651,2770.0
652,2860.0
653,2880.0
654,2900.0
655,2880.0
656,2880.0
657,2880.0
658,2800.0
659,2760.0
660,2830.0
661,2870.0
662,3020.0
663,3080.0
664,3070.0
665,3190.0
666,3210.0
667,3150.0
668,3350.0
669,3350.0
670,3350.0
671,3330.0
672,3370.0
673,3460.0
674,3270.0
675,3220.0
676,3250.0
677,3230.0
678,3370.0
679,3410.0
680,3140.0
681,3230.0
682,3220.0
683,3250.0
684,3270.0
685,3270.0
686,3180.0
687,3380.0
688,3350.0
689,3230.0
690,3160.0
691,3190.0
692,3180.0
693,3290.0
694,3350.0
695,3570.0
696,3590.0
697,3710.0
698,3680.0
699,3690.0
700,3590.0
701,3320.0
702,3270.0
703,3270.0
704,3170.0
705,3030.0
706,2950.0
707,3070.0
708,3090.0
709,3030.0
710,3020.0
711,3000.0
712,3000.0
713,2970.0
714,2920.0
715,2910.0
716,2830.0
717,2940.0
718,2850.0
719,2810.0
720,2880.0
721,2870.0
722,2970.0
723,2990.0
724,2960.0
725,2900.0
726,2800.0
727,2960.0
728,3030.0
729,3050.0
730,3080.0
731,3120.0
732,3170.0
733,3300.0
734,3330.0
735,3350.0
736,3370.0
737,3360.0
738,3330.0
739,3310.0
740,3170.0
741,3130.0
742,3170.0
743,3190.0
744,3250.0
745,3210.0
746,3240.0
747,3190.0
748,3280.0
749,3310.0
750,3300.0
751,3380.0
752,3420.0
753,3470.0
754,3450.0
755,3470.0
756,3700.0
757,3570.0
758,3740.0
759,3830.0
760,4050.0
761,4160.0
762,4050.0
763,4000.0
764,3970.0
765,3990.0
766,4020.0
767,4040.0
768,4190.0
769,4050.0
770,3960.0
771,3970.0
772,3930.0
773,4120.0
774,4080.0
775,3940.0
776,3940.0
777,3960.0
778,3970.0
779,3960.0
780,4000.0
781,4120.0
782,4170.0
783,4250.0
784,4170.0
785,4050.0
786,3950.0
787,4050.0
788,4090.0
789,4050.0
790,3960.0
791,4000.0
792,3880.0
793,4000.0
794,4020.0
795,3990.0
796,3920.0
797,3950.0
798,4020.0
799,4000.0
800,3980.0
801,3940.0
802,3820.0
803,3810.0
804,3790.0
805,3830.0
806,3800.0
807,3720.0
808,3560.0
809,3540.0
810,3560.0
811,3570.0
812,3640.0
813,3610.0
814,3620.0
815,3710.0
816,3750.0
817,3790.0
818,3780.0
819,3750.0
820,3780.0
821,3880.0
822,3930.0
823,3930.0
824,3890.0
825,3890.0
826,3830.0
827,3870.0
828,3840.0
829,3740.0
830,3820.0
831,3790.0
832,3940.0
833,3970.0
834,3920.0
835,3970.0
836,3990.0
837,3930.0
838,3940.0
839,3860.0
840,3850.0
841,3810.0
842,3770.0
843,3820.0
844,3870.0
845,3650.0
846,3590.0
847,3560.0
848,3270.0
849,3190.0
850,3170.0
851,3140.0
852,3210.0
853,3130.0
854,3150.0
855,3130.0
856,3150.0
857,3230.0
858,3230.0
859,3260.0
860,3250.0
861,3190.0
862,3070.0
863,3080.0
864,3100.0
865,3020.0
866,3000.0
867,2970.0
868,2870.0
869,2840.0
870,2950.0
871,2940.0
872,2890.0
873,2780.0
874,2830.0
875,2850.0
876,3040.0
877,2990.0
878,2930.0
879,2910.0
880,2900.0
881,2910.0
882,2950.0
883,2960.0
884,2950.0
885,3040.0
886,3010.0
887,3030.0
888,3130.0
889,3020.0
890,2910.0
891,2920.0
892,2950.0
893,2900.0
894,2930.0
895,2910.0
896,2820.0
897,2720.0
898,2780.0
899,2780.0
900,2730.0
901,2740.0
902,2740.0
903,2800.0
904,2910.0
905,2920.0
906,2930.0
907,3020.0
908,3080.0
909,3070.0
910,3120.0
911,3060.0
912,3060.0
913,3050.0
914,3010.0
915,2990.0
916,2950.0
917,3020.0
918,3130.0
919,3110.0
920,3160.0
921,3100.0
922,3050.0
923,3000.0
924,2880.0
925,2930.0
926,2910.0
927,2970.0
928,2950.0
929,2800.0
930,2790.0
931,2740.0
932,2710.0
933,2540.0
934,2490.0
935,2290.0
936,2310.0
937,2200.0
938,2170.0
939,2130.0
940,2150.0
941,2090.0
942,2170.0
943,2230.0
944,2200.0
945,2210.0
946,2230.0
947,2240.0
948,2220.0
949,2260.0
950,2330.0
951,2350.0
952,2300.0
953,2290.0
954,2290.0
955,2310.0
956,2280.0
957,2240.0
958,2260.0
959,2340.0
960,2350.0
961,2440.0
962,2460.0
963,2420.0
964,2420.0
965,2440.0
966,2430.0
967,2350.0
968,2360.0
969,2410.0
970,2390.0
971,2380.0
972,2430.0
973,2480.0
974,2520.0
975,2510.0
976,2500.0
977,2480.0
978,2470.0
979,2410.0
980,2380.0
981,2390.0
982,2440.0
983,2400.0
984,2420.0
985,2400.0
986,2440.0
987,2420.0
988,2410.0
989,2530.0
990,2540.0
991,2560.0
992,2620.0
993,2720.0
994,2780.0
995,2730.0
996,2670.0
997,2710.0
998,2730.0
999,2730.0
1000,2690.0
1001,2720.0
1002,2760.0
1003,2780.0
1004,2890.0
1005,2930.0
1006,2940.0
1007,2920.0
1008,2850.0
1009,2870.0
1010,2940.0
1011,2910.0
1012,2870.0
1013,2920.0
1014,2990.0
1015,2970.0
1016,2960.0
1017,2980.0
1018,2970.0
1019,2900.0
1020,2900.0
1021,2830.0
1022,2780.0
1023,2670.0
1024,2670.0
1025,2670.0
1026,2800.0
1027,2840.0
1028,2820.0
1029,2760.0
1030,2740.0
1031,2790.0
1032,2780.0
1033,2880.0
1034,2860.0
1035,2830.0
1036,2790.0
1037,2690.0
1038,2700.0
1039,2670.0
1040,2680.0
1041,2640.0
1042,2600.0
1043,2500.0
1044,2470.0
1045,2510.0
1046,2540.0
1047,2510.0
1048,2470.0
1049,2500.0
1050,2510.0
1051,2510.0
1052,2520.0
1053,2560.0
1054,2530.0
1055,2550.0
1056,2560.0
1057,2610.0
1058,2620.0
1059,2610.0
1060,2580.0
1061,2600.0
1062,2620.0
1063,2610.0
1064,2620.0
1065,2650.0
1066,2610.0
1067,2580.0
1068,2540.0
1069,2600.0
1070,2600.0
1071,2600.0
1072,2570.0
1073,2510.0
1074,2510.0
1075,2570.0
1076,2550.0
1077,2620.0
1078,2640.0
1079,2610.0
1080,2610.0
1081,2630.0
1082,2610.0
1083,2430.0
1084,2490.0
1085,2460.0
1086,2470.0
1087,2490.0
1088,2490.0
1089,2460.0
1090,2460.0
1091,2460.0
1092,2480.0
1093,2530.0
1094,2520.0
1095,2520.0
1096,2490.0
1097,2480.0
1098,2440.0
1099,2410.0
1100,2380.0
1101,2380.0
1102,2390.0
1103,2410.0
1104,2400.0
1105,2450.0
1106,2450.0
1107,2440.0
1108,2470.0
1109,2470.0
1110,2470.0
1111,2490.0
1112,2490.0
1113,2570.0
1114,2530.0
1115,2510.0
1116,2470.0
1117,2440.0
1118,2440.0
1119,2450.0
